Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Custom field (Actual Result),Custom field (Actual end),Custom field (Actual start),Custom field (Atlas project key),Custom field (Atlas project status),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Compass),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected Result),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Request Type),Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test Level),Custom field (Test Steps),Custom field (Testcase Result),Custom field (Total forms),Custom field ([CHART] Date of First Response),Comment,Status Category
W110 - Verify Customer Withdraw - Description cannot be blank,NNB-131,10130,Story,To Do,NNB,N4_NJS1704_BankingProject,software,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,Medium,,Huynh Huu Tri Nhan (K17 HCM),712020:2a920d8d-0438-43e5-97c5-5a2455a166f8,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,9/12/2023 20:32,9/14/2023 18:23,9/14/2023 18:26,,,0,Verify user can log in with valid credentials.,,Pham Duc Tai,,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,,,,,,,,,,User is logged in successfully.,,,,,,,,,,,,,User is logged in successfully. User is logged in successfully.,,,,,0|i000sn:,,,,,,,,,,User is logged in successfully.Enter valid username and password.,,,,,To Do
W109 - Verify Customer Withdraw - Special characters are not allowed,NNB-130,10129,Story,To Do,NNB,N4_NJS1704_BankingProject,software,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,Medium,,Huynh Huu Tri Nhan (K17 HCM),712020:2a920d8d-0438-43e5-97c5-5a2455a166f8,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,9/12/2023 20:32,9/13/2023 21:36,9/14/2023 18:27,,,0,Testing for special characters in the Description field.,,Pham Duc Tai,,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,,,,,,,,,,[Please fill in the actual result],,,,,,,,,,,,,"] An error message should be displayed, indicating that special characters are not allowed in the Description field.",,,,,0|i000sf:,,,,,,,,,,"Open the application.
Locate the Description field.
Enter special characters (e.g., !@#$%^) into the Description field.
Attempt to submit the form.",,,,,To Do
W108 - Verify Customer Withdraw - Characters are not allowed,NNB-129,10128,Story,To Do,NNB,N4_NJS1704_BankingProject,software,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,Medium,,Huynh Huu Tri Nhan (K17 HCM),712020:2a920d8d-0438-43e5-97c5-5a2455a166f8,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,9/12/2023 20:32,9/13/2023 21:36,9/14/2023 18:27,,,0,Testing for disallowing characters in the Description field.,,Pham Duc Tai,,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,,,,,,,,,, [Please fill in the actual result],,,,,,,,,,,,,"An error message should be displayed, indicating that only alphanumeric characters are allowed in the Description field.",,,,,0|i000s7:,,,,,,,,,,"Open the application.
Locate the Description field.
Enter characters (e.g., 'abcd1234') into the Description field.
Attempt to submit the form.",,,,,To Do
W107 - Verify Customer Withdraw - Amount Field must not be blank,NNB-128,10127,Story,To Do,NNB,N4_NJS1704_BankingProject,software,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,Medium,,Huynh Huu Tri Nhan (K17 HCM),712020:2a920d8d-0438-43e5-97c5-5a2455a166f8,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,9/12/2023 20:32,9/13/2023 21:36,9/14/2023 18:27,,,0,Testing for the Amount Field not being blank.,,Pham Duc Tai,,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,,,,,,,,,, [Please fill in the actual result],,,,,,,,,,,,,"An error message should be displayed, indicating that the Amount Field is required and must not be blank.",,,,,0|i000rz:,,,,,,,,,,"Open the application.
Locate the Amount Field.
Leave the Amount Field blank.
Attempt to submit the form.",,,,,To Do
W106 - Verify Customer Withdraw - Characters are not allowed,NNB-127,10126,Story,To Do,NNB,N4_NJS1704_BankingProject,software,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,Medium,,Huynh Huu Tri Nhan (K17 HCM),712020:2a920d8d-0438-43e5-97c5-5a2455a166f8,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,9/12/2023 20:32,9/13/2023 21:36,9/14/2023 18:27,,,0,The field must not contain any characters; only specific input is allowed.,,Pham Duc Tai,,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,,,,,,,,,,,,,,,,,,,,,,,"An error message should be displayed, indicating that only specific input is allowed, and characters are not allowed.",,,,,0|i000rr:,,,,,,,,,,"1. Open the application.
2. Locate the field in question.
3. Attempt to input characters (e.g., ""abc123"") into the field.
4. Submit the form.",,,,,To Do
W105 - Verify Customer Withdraw - Special character are not allowed,NNB-126,10125,Story,To Do,NNB,N4_NJS1704_BankingProject,software,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,Medium,,Huynh Huu Tri Nhan (K17 HCM),712020:2a920d8d-0438-43e5-97c5-5a2455a166f8,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,9/12/2023 20:32,9/13/2023 21:36,9/14/2023 18:27,,,0,The field must not contain any special characters.,,Pham Duc Tai,,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,,,,,,,,,,,,,,,,,,,,,,,"An error message should be displayed, indicating that special characters are not allowed in the field.",,,,,0|i000rj:,,,,,,,,,,"1. Open the application.
2. Locate the field in question.
3. Attempt to input special characters (e.g., @#$%) into the field.
4. Submit the form.",,,,,To Do
W104 - Verify Customer Withdraw - Account No must not be blank,NNB-125,10124,Story,To Do,NNB,N4_NJS1704_BankingProject,software,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,Medium,,Huynh Huu Tri Nhan (K17 HCM),712020:2a920d8d-0438-43e5-97c5-5a2455a166f8,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,9/12/2023 20:32,9/13/2023 21:36,9/14/2023 18:27,,,0,The Account Number field must not be blank.,,Pham Duc Tai,,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,,,,,,,,,,,,,,,,,,,,,,,"An error message should be displayed, indicating that the Account Number field is required.",,,,,0|i000rb:,,,,,,,,,,"1. Open the application.
2. Locate the Account Number field.
3. Leave the Account Number field blank.
4. Attempt to submit the form.",,,,,To Do
CP103 - Verify Customer Password - Passwords do not Match,NNB-124,10123,Story,To Do,NNB,N4_NJS1704_BankingProject,software,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,Medium,,Huynh Huu Tri Nhan (K17 HCM),712020:2a920d8d-0438-43e5-97c5-5a2455a166f8,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,9/12/2023 20:31,9/13/2023 21:36,9/14/2023 18:27,,,0,The Confirm Password field must match the entered Password field.,,Pham Duc Tai,,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,,,,,,,,,,,,,,,,,,,,,,,"An error message should be displayed, indicating that the passwords do not match.",,,,,0|i000r3:,,,,,,,,,,"1. Open the application.
2. Locate the Password and Confirm Password fields.
3. Enter different passwords in the Password and Confirm Password fields.
4. Attempt to submit the form.",,,,,To Do
CP102 - Verify Customer Password - Confirm Password must not be blank,NNB-123,10122,Story,To Do,NNB,N4_NJS1704_BankingProject,software,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,Medium,,Huynh Huu Tri Nhan (K17 HCM),712020:2a920d8d-0438-43e5-97c5-5a2455a166f8,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,9/12/2023 20:31,9/13/2023 21:36,9/14/2023 18:27,,,0,The Confirm Password field must not be blank.,,Pham Duc Tai,,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,,,,,,,,,,,,,,,,,,,,,,,"An error message should be displayed, indicating that the Confirm Password field is required.",,,,,0|i000qv:,,,,,,,,,,"1. Open the application.
2. Locate the Confirm Password field.
3. Leave the Confirm Password field blank.
4. Attempt to submit the form.",,,,,To Do
CP101 - Verify Customer Password - Choose a difficult Password,NNB-122,10121,Story,To Do,NNB,N4_NJS1704_BankingProject,software,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,Medium,,Huynh Huu Tri Nhan (K17 HCM),712020:2a920d8d-0438-43e5-97c5-5a2455a166f8,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,9/12/2023 20:31,9/13/2023 21:35,9/14/2023 18:27,,,0,The user must choose a password that meets the criteria for a strong and difficult password.,,Pham Duc Tai,,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,,,,,,,,,,,,,,,,,,,,,,,"An error message should be displayed, indicating that a difficult password is required.",,,,,0|i000qn:,,,,,,,,,,"1. Open the application.
2. Locate the password field.
3. Enter a password that does not meet the criteria for a strong and difficult password.
4. Attempt to submit the form.",,,,,To Do
CP100 - Verify Customer Password - Enter at-least one special character,NNB-121,10120,Story,To Do,NNB,N4_NJS1704_BankingProject,software,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,Medium,,Huynh Huu Tri Nhan (K17 HCM),712020:2a920d8d-0438-43e5-97c5-5a2455a166f8,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,9/12/2023 20:31,9/13/2023 21:35,9/14/2023 18:27,,,0,The field must contain at least one special character.,,Pham Duc Tai,,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,,,,,,,,,,,,,,,,,,,,,,,"An error message should be displayed, indicating that at least one special character is required in the field.",,,,,0|i000qf:,,,,,,,,,,"1. Open the application.
2. Locate the field in question.
3. Attempt to submit the form without entering any special character in the field.",,,,,To Do
CP99  - Verify Customer Password - Enter at-least one numeric value,NNB-120,10119,Story,To Do,NNB,N4_NJS1704_BankingProject,software,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,Medium,,Huynh Huu Tri Nhan (K17 HCM),712020:2a920d8d-0438-43e5-97c5-5a2455a166f8,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,9/12/2023 20:31,9/13/2023 21:35,9/14/2023 18:26,,,0,The field must contain at least one numeric value.,,Pham Duc Tai,,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,,,,,,,,,,,,,,,,,,,,,,,"An error message should be displayed, indicating that at least one numeric value is required in the field.",,,,,0|i000q7:,,,,,,,,,,"1. Open the application.
2. Locate the field in question.
3. Attempt to submit the form without entering any numeric value in the field.",,,,,To Do
CP98  - Verify Customer Password - New Password must not be blank,NNB-119,10118,Story,To Do,NNB,N4_NJS1704_BankingProject,software,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,Medium,,Huynh Huu Tri Nhan (K17 HCM),712020:2a920d8d-0438-43e5-97c5-5a2455a166f8,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,9/12/2023 20:30,9/13/2023 21:35,9/14/2023 18:27,,,0,The New Password field must not be blank.,,Pham Duc Tai,,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,,,,,,,,,,,,,,,,,,,,,,,"An error message should be displayed, indicating that the New Password field is required.",,,,,0|i000pz:,,,,,,,,,,"1. Open the application.
2. Locate the New Password field.
3. Leave the New Password field blank.
4. Attempt to submit the form.",,,,,To Do
CP97  - Verify Customer Password - Old Password must not be blank,NNB-118,10117,Story,To Do,NNB,N4_NJS1704_BankingProject,software,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,Medium,,Huynh Huu Tri Nhan (K17 HCM),712020:2a920d8d-0438-43e5-97c5-5a2455a166f8,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,9/12/2023 20:30,9/13/2023 21:35,9/14/2023 18:27,,,0,The Old Password field must not be blank.,,Pham Duc Tai,,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,,,,,,,,,,,,,,,,,,,,,,,"An error message should be displayed, indicating that the Old Password field is required.",,,,,0|i000pr:,,,,,,,,,,"1. Open the application.
2. Locate the Old Password field.
3. Leave the Old Password field blank.
4. Attempt to submit the form.",,,,,To Do
MSP96 - Verify Customer Statement - Characters are not allowed,NNB-117,10116,Story,Done,NNB,N4_NJS1704_BankingProject,software,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,Medium,Done,Huynh Huu Tri Nhan (K17 HCM),712020:2a920d8d-0438-43e5-97c5-5a2455a166f8,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,9/12/2023 20:30,9/14/2023 18:23,9/14/2023 18:26,9/14/2023 18:01,,0,The field must not contain any characters; only specific input is allowed.,,Pham Duc Tai,,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,,,,,,,,,13/Sep/23 5:42 PM;712020:809ac591-9222-4df5-9354-a6ee36c2d221;Screenshot (1243).png;https://group4njs1704.atlassian.net/rest/api/3/attachment/content/10062,An error message showed up indicating the error as expected.,,,,,,,,,,,,,An error message occurs indicating there should not be any character in the field.,,,,,0|i000pj:,,,,,,,,,Unit,"1. Open the application.
2. Locate the field in question.
3. Attempt to input characters (e.g., ""abc123"") into the field.
4. Submit the form.",Pass,,,,Done
