Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Cloners),Outward issue link (Cloners),Attachment,Attachment,Attachment,Custom field (Actual Result),Custom field (Actual end),Custom field (Actual start),Custom field (Atlas project key),Custom field (Atlas project status),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Compass),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Epic Link Summary,Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected Result),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Request Type),Sprint,Sprint,Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test Level),Custom field (Test Steps),Custom field (Testcase Result),Custom field (Total forms),Custom field ([CHART] Date of First Response),Comment,Parent,Parent summary,Status Category
"IP_MS47_Customer_If account associate with customer itself, System displays an error.",NNB-183,10182,Story,To Do,NNB,N4_NJS1704_BankingProject,software,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,Medium,,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,21/Sep/23 11:01 AM,21/Sep/23 8:08 PM,25/Sep/23 9:04 PM,,,0,"Verify that if an account is associated with a customer, the system displays an error.",,Pham Duc Tai,,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,,,,,,,,,,,,,,,,,,,,,,,,,NNB-3,Mini Statement,,,The system should display an error message indicating that an account is already associated with the customer.,,,,,0|i0013r:,,,,,,,,,,,,Integration,"1. Create a new customer account.
2. Associate the account with the customer.
3. Attempt to create another account associated with the same customer.",,,,,10002,Mini Statement,To Do
"IP_MS45_Manager_If account not associate with manager itself, System displays an error.",NNB-182,10181,Story,To Do,NNB,N4_NJS1704_BankingProject,software,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,Medium,,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,21/Sep/23 11:01 AM,21/Sep/23 8:09 PM,25/Sep/23 9:04 PM,,,0,"Verify that if an account is not associate with manager itself, System displays an error.",,Pham Duc Tai,,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,,,,,,,,,,,,,,,,,,,,,,,,,NNB-3,Mini Statement,,,The system should display an error message indicating that the account is not associated with the manager.,,,,,0|i0013j:,,,,,,,,,,,,Integration,"1. Create a new manager account.
2. Associate the account with the manager.
3. Attempt to create another account not associated with the same manager.",,,,,10002,Mini Statement,To Do
"IP_MS44_Manager_If transaction not exist in system, System displays an error.",NNB-181,10180,Story,To Do,NNB,N4_NJS1704_BankingProject,software,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,Medium,,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,21/Sep/23 11:01 AM,21/Sep/23 8:11 PM,25/Sep/23 9:03 PM,,,0,"Verify that if a transaction does not exist in the system, the system displays an error.",,Pham Duc Tai,,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,,,,,,,,,,,,,,,,,,,,,,,,,NNB-3,Mini Statement,,,The system should display an error message indicating that the transaction does not exist.,,,,,0|i0013b:,,,,,,,,,,,,Integration,1. Attempt to perform a transaction that does not exist in the system.,,,,,10002,Mini Statement,To Do
"IP_CS42_Customer_If From Date is greater than To Date, System displays an error.",NNB-180,10179,Bug,Open,NNB,N4_NJS1704_BankingProject,software,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,Medium,,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,21/Sep/23 11:01 AM,22/Sep/23 9:59 AM,25/Sep/23 9:01 PM,,,0,"Verify that if the From Date is greater than the To Date, the system displays an error.",,Pham Duc Tai,,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,,,,,,,,,,,"21/Sep/23 8:16 PM;712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f;IP_CS42_Customer_If From Date is greater than To Date, System displays an error.png;https://group4njs1704.atlassian.net/rest/api/3/attachment/content/10095",,,The system did not display an error message when the From Date is greater than the To Date,,,,,,,,,,,NNB-4,Customized Statement,,,The system should display an error message indicating that the From Date cannot be greater than the To Date.,,,,,0|i00133:,,,,,,,,,,,,Integration,"1. Enter a From Date that is greater than the To Date.
2. Submit the form.",Fail,,,,10003,Customized Statement,To Do
"IP_CS40_Manager_If From Date is greater than To Date, System displays an error.",NNB-179,10178,Story,To Do,NNB,N4_NJS1704_BankingProject,software,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,Medium,,phuochvtse160419,712020:a525ba0a-cc25-4cd7-823e-450f677f1e54,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,21/Sep/23 11:01 AM,21/Sep/23 1:10 PM,26/Sep/23 8:22 AM,,,0,,,Pham Duc Tai,,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0012v:,,,,,,,,,,,,,,,,,,,,To Do
"IP_NC36_Manager_If Customer Id does not associate with Manager, System displays an error.",NNB-178,10177,Story,To Do,NNB,N4_NJS1704_BankingProject,software,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,Medium,,phuochvtse160419,712020:a525ba0a-cc25-4cd7-823e-450f677f1e54,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,21/Sep/23 11:00 AM,21/Sep/23 1:10 PM,26/Sep/23 8:22 AM,,,0,,,Pham Duc Tai,,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0012n:,,,,,,,,,,,,,,,,,,,,To Do
"IP_NC35_Manager_If Customer Id is invalid, System displays an error.",NNB-177,10176,Story,To Do,NNB,N4_NJS1704_BankingProject,software,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,Medium,,phuochvtse160419,712020:a525ba0a-cc25-4cd7-823e-450f677f1e54,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,21/Sep/23 11:00 AM,21/Sep/23 1:10 PM,26/Sep/23 8:22 AM,,,0,,,Pham Duc Tai,,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0012f:,,,,,,,,,,,,,,,,,,,,To Do
"IP_NA32_Manager_If Customer Id does not associate with manager, System displays an error.",NNB-176,10175,Story,To Do,NNB,N4_NJS1704_BankingProject,software,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,Medium,,phuochvtse160419,712020:a525ba0a-cc25-4cd7-823e-450f677f1e54,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,21/Sep/23 11:00 AM,21/Sep/23 1:10 PM,21/Sep/23 11:29 AM,,,0,,,Pham Duc Tai,,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00127:,,,,,,,,,,,,,,,,,,,,To Do
"IP_NA31_Manager_If initial deposit is less than 500, System displays an error.",NNB-175,10174,Story,To Do,NNB,N4_NJS1704_BankingProject,software,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,Medium,,phuochvtse160419,712020:a525ba0a-cc25-4cd7-823e-450f677f1e54,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,21/Sep/23 11:00 AM,21/Sep/23 1:10 PM,26/Sep/23 8:22 AM,,,0,,,Pham Duc Tai,,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0011z:,,,,,,,,,,,,,,,,,,,,To Do
"IP_EA29_Manager_If Account number does not associate with manager, System displays an error.",NNB-174,10173,Story,To Do,NNB,N4_NJS1704_BankingProject,software,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,Medium,,diemnqse172514,712020:809ac591-9222-4df5-9354-a6ee36c2d221,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,21/Sep/23 11:00 AM,22/Sep/23 9:58 AM,22/Sep/23 9:49 AM,,,0,,,Pham Duc Tai,,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0011r:,,,,,,,,,,,,,,,,,,,,To Do
